inds	Country	Region	Locality	Land_use
226_CmrZ2_kani_ca_pl3_F1	Cameroun	Extreme-Nord	Mayo-kani	Champ agricole
227_CmrZ2_kani_ca_pl3_G1	Cameroun	Extreme-Nord	Mayo-kani	Champ agricole
228_CmrZ2_kani_ca_pl3_H1	Cameroun	Extreme-Nord	Mayo-kani	Champ agricole
229_CmrZ2_kani_sn_pl3_A2	Cameroun	Extreme-Nord	Mayo-kani	Savane Naturelle
230_CmrZ2_kani_sn_pl3_B2	Cameroun	Extreme-Nord	Mayo-kani	Savane Naturelle
231_CmrZ2_kani_sn_pl3_C2	Cameroun	Extreme-Nord	Mayo-kani	Savane Naturelle
233_CmrZ2_kani_sn_pl3_D2	Cameroun	Extreme-Nord	Mayo-kani	Savane Naturelle
234_CmrZ2_kani_sn_pl3_E2	Cameroun	Extreme-Nord	Mayo-kani	Savane Naturelle
235_CmrZ2_kani_sn_pl3_F2	Cameroun	Extreme-Nord	Mayo-kani	Savane Naturelle
236_CmrZ2_kani_sn_pl3_G2	Cameroun	Extreme-Nord	Mayo-kani	Savane Naturelle
237_CmrZ2_kani_sn_pl3_H2	Cameroun	Extreme-Nord	Mayo-kani	Savane Naturelle
238_CmrZ2_kani_sn_pl3_A3	Cameroun	Extreme-Nord	Mayo-kani	Savane Naturelle
239_CmrZ2_kani_sn_pl3_B3	Cameroun	Extreme-Nord	Mayo-kani	Savane Naturelle
241_CmrZ2_kani_sn_pl3_C3	Cameroun	Extreme-Nord	Mayo-kani	Savane Naturelle
250_CmrZ2_kani_sn_pl3_D3	Cameroun	Extreme-Nord	Mayo-kani	Savane Naturelle
251_CmrZ2_kani_sn_pl3_E3	Cameroun	Extreme-Nord	Mayo-kani	Savane Naturelle
252_CmrZ2_kani_sn_pl3_F3	Cameroun	Extreme-Nord	Mayo-kani	Savane Naturelle
253_CmrZ2_kani_sn_pl3_G3	Cameroun	Extreme-Nord	Mayo-kani	Savane Naturelle
254_CmrZ2_kani_sn_pl3_H3	Cameroun	Extreme-Nord	Mayo-kani	Savane Naturelle
255_CmrZ2_dana_ca_pl3_A4	Cameroun	Extreme-Nord	Mayo-Dana	Champ agricole
256_CmrZ2_dana_ca_pl3_B4	Cameroun	Extreme-Nord	Mayo-Dana	Champ agricole
257_CmrZ2_dana_ca_pl3_C4	Cameroun	Extreme-Nord	Mayo-Dana	Champ agricole
258_CmrZ2_dana_ca_pl3_D4	Cameroun	Extreme-Nord	Mayo-Dana	Champ agricole
259_CmrZ2_dana_ca_pl3_E4	Cameroun	Extreme-Nord	Mayo-Dana	Champ agricole
260_CmrZ2_dana_ca_pl3_F4	Cameroun	Extreme-Nord	Mayo-Dana	Champ agricole
261_CmrZ2_dana_ca_pl3_G4	Cameroun	Extreme-Nord	Mayo-Dana	Champ agricole
262_CmrZ2_dana_ca_pl3_H4	Cameroun	Extreme-Nord	Mayo-Dana	Champ agricole
263_CmrZ2_dana_ca_pl3_A5	Cameroun	Extreme-Nord	Mayo-Dana	Champ agricole
264_CmrZ2_dana_ca_pl3_B5	Cameroun	Extreme-Nord	Mayo-Dana	Champ agricole
265_CmrZ2_dana_ca_pl3_C5	Cameroun	Extreme-Nord	Mayo-Dana	Champ agricole
266_CmrZ2_dana_ca_pl3_D5	Cameroun	Extreme-Nord	Mayo-Dana	Champ agricole
267_CmrZ2_dana_ca_pl3_E5	Cameroun	Extreme-Nord	Mayo-Dana	Champ agricole
268_CmrZ2_dana_ca_pl3_F5	Cameroun	Extreme-Nord	Mayo-Dana	Champ agricole
269_CmrZ2_dana_ca_pl3_G5	Cameroun	Extreme-Nord	Mayo-Dana	Champ agricole
270_CmrZ2_dana_ca_pl3_H5	Cameroun	Extreme-Nord	Mayo-Dana	Champ agricole
271_CmrZ2_dana_ca_pl3_A6	Cameroun	Extreme-Nord	Mayo-Dana	Champ agricole
272_CmrZ2_dana_ca_pl3_B6	Cameroun	Extreme-Nord	Mayo-Dana	Champ agricole
273_CmrZ2_dana_ca_pl3_C6	Cameroun	Extreme-Nord	Mayo-Dana	Champ agricole
